# Simulation 24 (Up to date)
# 1059 data points written for 54 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s^2),Total velocity (ft/s),Total acceleration (ft/s^2),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (^2),Lateral velocity (ft/s),Lateral acceleration (ft/s^2),Latitude (^2),Longitude (^2),Gravitational acceleration (ft/s^2),Angle of attack (^2),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (oz),Propellant mass (oz),Longitudinal moment of inertia (lb^2ft^2),Rotational moment of inertia (lb^2ft^2),CP location (in),CG location (in),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (ft/s^2),Reference length (in),Reference area (in^2),Vertical orientation (zenith) (^2),Lateral orientation (azimuth) (^2),Wind velocity (ft/s),Air temperature (^2F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,44.442,0,44.442,0,0,0,0,0,0,28.61,-80.6,32.127,90,0,0,0,1519.9,0.57825,646.12,4.7599,NaN,79.536,NaN,0.0063829,487205,1005.6,0,0.50951,0,0.4268,1.5095e-6,0.082709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.625,34.472,90,0,NaN,59,1013.2,1116.8,0.01,8.551e-4
0.01,0.0022221,0.44442,148.52,0.44442,148.52,0,0,0,0,0,0,28.61,-80.6,32.127,86.46,0,0,0,1519.9,0.57825,646.12,4.7599,NaN,79.536,NaN,0.0064453,491967,2372.5,1.9053e-5,0.50863,2.906e-4,0.42592,1.5392e-6,0.082709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.6901e-5,6.625,34.472,90,0,NaN,59,1013.2,1116.8,0.01,0.0010495
0.02,0.014092,1.9296,151.4,1.9296,151.4,0,0,0,0,0,0,28.61,-80.6,32.127,75.077,0,0,0,1519.9,0.57758,646.11,4.7599,NaN,79.536,NaN,0.0067094,512125,2410.4,0.0013495,0.505,0.018994,0.42229,1.6679e-6,0.08271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4705e-4,6.625,34.472,90,0,NaN,59,1013.2,1116.8,0.01,0.0011784
0.03,0.040958,3.4436,151.22,3.4436,151.22,0,0,0,0,0,0,28.61,-80.6,32.127,64.734,0,0,0,1519.9,0.57668,646.11,4.7599,NaN,79.536,NaN,0.0072244,551429,2408,0.0065544,0.49845,0.07957,0.41573,1.9337e-6,0.08271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.409e-4,6.625,34.472,90,0,NaN,59,1013.2,1116.8,0.01,0.00129
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.082955,4.9558,151.04,4.9558,151.04,0,0,0,0,0,0,28.61,-80.6,32.127,56.017,0,0,0,1519.9,0.57573,646.11,4.7599,NaN,79.536,NaN,0.0079393,606000,2405.6,0.016654,0.4903,0.1674,0.40758,2.3354e-6,0.082711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3451e-4,6.625,34.472,90,0,NaN,59,1013.2,1116.8,0.01,0.0014566
0.05,0.14006,6.4661,150.85,6.4661,150.85,0,0,0,0,0,0,28.61,-80.6,32.127,48.884,0,0,0,1519.9,0.57478,646.11,4.7599,NaN,79.536,NaN,0.008805,672072,2403.2,0.031626,0.48163,0.25847,0.39892,2.8725e-6,0.082713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.2789e-4,6.625,34.472,90,0,NaN,59,1013.2,1116.8,0.01,0.0015716
0.06,0.21227,7.9746,150.67,7.9746,150.67,0,0,0,0,0,0,28.61,-80.6,32.127,43.076,0,0,0,1519.9,0.57383,646.11,4.7598,NaN,79.536,NaN,0.0097761,746193,2400.8,0.051048,0.47316,0.33843,0.39044,3.5411e-6,0.082714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001021,6.625,34.472,90,0,NaN,58.999,1013.2,1116.8,0.01,0.0016994
0.07,0.29955,9.4813,150.49,9.4813,150.49,0,0,0,0,0,0,28.61,-80.6,32.127,38.363,0,0,0,1519.9,0.57289,646.11,4.7598,NaN,79.536,NaN,0.010828,826467,2398.4,0.074367,0.46513,0.4019,0.38241,4.3441e-6,0.082716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012139,6.625,34.472,90,0,NaN,58.999,1013.2,1116.8,0.01,0.001824
0.08,0.40188,10.986,150.3,10.986,150.3,0,0,0,0,0,0,28.61,-80.6,32.127,34.509,0,0,0,1519.9,0.57194,646.11,4.7598,NaN,79.536,NaN,0.011938,911225,2396,0.10109,0.4577,0.4494,0.37497,5.2809e-6,0.082718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014066,6.625,34.472,90,0,NaN,58.999,1013.2,1116.8,0.01,0.0019391
0.09,0.51926,12.489,150.12,12.489,150.12,0,0,0,0,0,0,28.61,-80.6,32.127,31.327,0,0,0,1519.9,0.57099,646.11,4.7598,NaN,79.536,NaN,0.013092,999289,2393.7,0.1308,0.45087,0.48351,0.36814,6.3511e-6,0.082721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001599,6.625,34.472,90,0,NaN,58.998,1013.2,1116.8,0.01,0.0020512
0.1,0.65166,13.99,149.93,13.99,149.93,0,0,0,0,0,0,28.61,-80.6,32.127,28.67,0,0,0,1519.9,0.57004,646.11,4.7598,NaN,79.536,NaN,0.014278,1089821,2391.3,0.16317,0.44462,0.50713,0.36189,7.5542e-6,0.082724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017913,6.625,34.472,90,0,NaN,58.998,1013.2,1116.8,0.01,0.0021618
